datetime, Max, Min, Average,
08/01/2017 03,21.89999962,21.79999924,21.8813949, 
08/01/2017 04,21.89999962,21.5,21.7083334, 
08/01/2017 05,22,21.60000038,21.80000013, 
08/01/2017 06,22.39999962,22,22.18499997, 
08/01/2017 07,23.70000076,22.39999962,23.06166677, 
08/01/2017 08,26.29999924,23.70000076,24.79000012, 
08/01/2017 09,27.60000038,25.60000038,26.67166665, 
08/01/2017 10,26.5,25.89999962,26.18500007, 
08/01/2017 11,27.29999924,26.39999962,26.83214269, 
08/01/2017 12,27.60000038,26.79999924,27.0714283, 
08/01/2017 13,27,26.5,26.78965496, 
08/01/2017 14,27.20000076,26.5,26.80833356, 
08/01/2017 15,26.60000038,25.70000076,26.12833322, 
08/01/2017 16,26.70000076,26.39999962,26.5250001, 
08/01/2017 17,26.60000038,25.10000038,25.74666678, 
08/01/2017 18,25.10000038,24.60000038,24.74901996, 
08/01/2017 19,24.5,22.89999962,23.29795915, 
08/01/2017 20,23.10000038,22.79999924,22.87777731, 
08/01/2017 21,23,22.89999962,22.93225781, 
08/01/2017 22,22.79999924,22.60000038,22.66428607, 
08/01/2017 23,22.70000076,22.39999962,22.55964935, 
08/02/2017 00,22.39999962,22.10000038,22.16166687, 
08/02/2017 01,22.10000038,21.89999962,22.02333342, 
08/02/2017 02,22.10000038,21.39999962,21.78166656, 
08/02/2017 03,21.79999924,21.5,21.64833387, 
08/02/2017 04,21.5,21,21.18333359, 
08/02/2017 05,21.20000076,21,21.07666696, 
08/02/2017 06,21.70000076,21.20000076,21.43962281, 
08/02/2017 07,23.70000076,21.70000076,22.6833334, 
08/02/2017 08,24.79999924,23.5,24.15833356, 
08/02/2017 09,25.70000076,24.79999924,25.22500013, 
08/02/2017 10,27.39999962,25.5,26.62499997, 
08/02/2017 11,28.10000038,27,27.46333326, 
08/02/2017 12,28.70000076,27.20000076,28.15, 
08/02/2017 13,29.20000076,28.20000076,28.91951226, 
08/02/2017 14,29.10000038,28.20000076,28.80666676, 
08/02/2017 15,29,27.29999924,28.12166662, 
08/02/2017 16,27.39999962,24.70000076,25.65333325, 
08/02/2017 17,25.10000038,24.5,24.89833326, 
08/02/2017 18,24.5,23.89999962,24.18166644, 
08/02/2017 19,24.70000076,24,24.27500019, 
08/02/2017 20,24.70000076,24.5,24.62500048, 
08/02/2017 21,24.5,23.10000038,23.46333348, 
08/02/2017 22,23.29999924,22.89999962,23.06500003, 
08/02/2017 23,23,22.79999924,22.94385943, 
08/03/2017 00,22.89999962,22.70000076,22.77999977, 
08/03/2017 01,22.79999924,22.5,22.63333371, 
08/03/2017 02,22.5,21.29999924,21.71999973, 
08/03/2017 03,21.20000076,20.79999924,21.06666692, 
08/03/2017 04,21.29999924,21.10000038,21.18166714, 
08/03/2017 05,21.20000076,20.89999962,21.05333354, 
08/03/2017 06,21.29999924,21,21.12666712, 
08/03/2017 07,21.60000038,21.20000076,21.42166643, 
08/03/2017 08,21.79999924,21.29999924,21.60000033, 
08/03/2017 09,23.10000038,22,22.50285721, 
08/03/2017 10,26.39999962,23,25.31521706, 
08/03/2017 11,28.5,26.29999924,27.33333321, 
08/03/2017 12,29.39999962,27.39999962,28.54666659, 
08/03/2017 13,27.39999962,26.29999924,26.72499997, 
08/03/2017 14,26.39999962,25.5,25.91833286, 
08/03/2017 15,25.39999962,24.5,24.8233333, 
08/03/2017 16,25.10000038,24.89999962,25.00500002, 
08/03/2017 17,25,24.39999962,24.81500009, 
08/03/2017 18,24.60000038,24.20000076,24.44333334, 
08/03/2017 19,24.20000076,23.89999962,24.05789496, 
08/03/2017 20,23.79999924,23.79999924,23.79999924, 
08/03/2017 21,23.89999962,23.79999924,23.8538456, 
08/03/2017 22,23.79999924,23.70000076,23.75999985, 
08/03/2017 23,23.5,23.29999924,23.43272702, 
08/04/2017 00,23.39999962,23.20000076,23.28333314, 
08/04/2017 01,23.29999924,22.70000076,22.97833341, 
08/04/2017 02,22.79999924,22.60000038,22.69166711, 
08/04/2017 03,22.70000076,22.5,22.64333388, 
08/04/2017 04,22.60000038,22.5,22.56666692, 
08/04/2017 05,22.5,22.29999924,22.3949996, 
08/04/2017 06,23.5,22.39999962,22.88333343, 
08/04/2017 07,25.79999924,23.60000038,24.58833323, 
08/04/2017 08,25.79999924,25.29999924,25.57833341, 
08/04/2017 09,26.60000038,25.60000038,26.37166659, 
08/04/2017 10,28.10000038,26.39999962,27.62307681, 
08/04/2017 11,29.29999924,27.20000076,28.01000001, 
08/04/2017 12,29.5,28.70000076,29.05166655, 
08/04/2017 13,28.79999924,26.70000076,27.51166668, 
08/04/2017 14,29.10000038,27.70000076,28.38666677, 
08/04/2017 15,29.79999924,27.5,28.3600001, 
08/04/2017 16,27.89999962,26.89999962,27.30166658, 
08/04/2017 17,26.89999962,26,26.30499989, 
08/04/2017 18,26.20000076,25,25.67000014, 
08/04/2017 19,25,24.60000038,24.79500033, 
08/04/2017 20,24.70000076,24.5,24.57166694, 
08/04/2017 21,24.5,24.39999962,24.47833325, 
08/04/2017 22,24.39999962,23.79999924,24.09666662, 
08/04/2017 23,23.79999924,23.60000038,23.73833342, 
08/05/2017 00,23.79999924,23,23.54666713, 
08/05/2017 01,23,22.70000076,22.8, 
08/05/2017 02,22.89999962,22.39999962,22.61833331, 
08/05/2017 03,22.60000038,22.29999924,22.39833295, 
08/05/2017 04,22.39999962,21.89999962,22.02333323, 
08/05/2017 05,22,21.70000076,21.83833319, 
08/05/2017 06,22.10000038,21.70000076,21.83833329, 
08/05/2017 07,22.89999962,22.10000038,22.42631581, 
08/05/2017 08,25.5,23.89999962,24.54509806, 
08/05/2017 09,27.5,25.5,26.50333328, 
08/05/2017 10,28.60000038,27.10000038,27.96500006, 
08/05/2017 11,29.20000076,28.20000076,28.76833344, 
08/05/2017 12,28.70000076,27.5,28.24000009, 
08/05/2017 13,29.60000038,28,28.94666675, 
