gsid,index_no,station,district,year,month,days,utc_hour,rh
366,1030,Kathmandu Airport,Kathmandu,2017,5,23,3,69.8
366,1030,Kathmandu Airport,Kathmandu,2017,5,23,12,49.7
366,1030,Kathmandu Airport,Kathmandu,2017,5,24,3,71.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,24,12,86.1
366,1030,Kathmandu Airport,Kathmandu,2017,5,25,3,64.7
366,1030,Kathmandu Airport,Kathmandu,2017,5,25,12,68.6
366,1030,Kathmandu Airport,Kathmandu,2017,5,26,3,92.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,26,12,94.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,27,3,82.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,27,12,92.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,28,3,83.6
366,1030,Kathmandu Airport,Kathmandu,2017,5,28,12,68.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,29,3,71
366,1030,Kathmandu Airport,Kathmandu,2017,5,29,12,70
366,1030,Kathmandu Airport,Kathmandu,2017,5,30,3,73.2
366,1030,Kathmandu Airport,Kathmandu,2017,5,30,12,87.4
366,1030,Kathmandu Airport,Kathmandu,2017,5,31,3,76.9
366,1030,Kathmandu Airport,Kathmandu,2017,5,31,12,64.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,1,3,72.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,1,12,69.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,2,3,71.8
366,1030,Kathmandu Airport,Kathmandu,2017,6,2,12,63.5
366,1030,Kathmandu Airport,Kathmandu,2017,6,3,3,73.5
366,1030,Kathmandu Airport,Kathmandu,2017,6,3,12,64
366,1030,Kathmandu Airport,Kathmandu,2017,6,4,3,69
366,1030,Kathmandu Airport,Kathmandu,2017,6,4,12,59.9
366,1030,Kathmandu Airport,Kathmandu,2017,6,5,3,70.4
366,1030,Kathmandu Airport,Kathmandu,2017,6,5,12,94.5
366,1030,Kathmandu Airport,Kathmandu,2017,6,6,3,83.8
366,1030,Kathmandu Airport,Kathmandu,2017,6,6,12,80.2
366,1030,Kathmandu Airport,Kathmandu,2017,6,7,3,75.6
366,1030,Kathmandu Airport,Kathmandu,2017,6,7,12,75.3
366,1030,Kathmandu Airport,Kathmandu,2017,6,8,3,79.4
366,1030,Kathmandu Airport,Kathmandu,2017,6,8,12,87.8
366,1030,Kathmandu Airport,Kathmandu,2017,6,9,3,78.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,9,12,96.4
366,1030,Kathmandu Airport,Kathmandu,2017,6,10,3,77.6
366,1030,Kathmandu Airport,Kathmandu,2017,6,10,12,68.3
366,1030,Kathmandu Airport,Kathmandu,2017,6,11,3,74.4
366,1030,Kathmandu Airport,Kathmandu,2017,6,11,12,64.4
366,1030,Kathmandu Airport,Kathmandu,2017,6,12,3,80
366,1030,Kathmandu Airport,Kathmandu,2017,6,12,12,59.8
366,1030,Kathmandu Airport,Kathmandu,2017,6,13,3,61.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,13,12,57.6
366,1030,Kathmandu Airport,Kathmandu,2017,6,14,3,71
366,1030,Kathmandu Airport,Kathmandu,2017,6,14,12,79.8
366,1030,Kathmandu Airport,Kathmandu,2017,6,15,3,74
366,1030,Kathmandu Airport,Kathmandu,2017,6,15,12,69.1
366,1030,Kathmandu Airport,Kathmandu,2017,6,16,3,76.4
366,1030,Kathmandu Airport,Kathmandu,2017,6,16,12,72.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,17,3,81.3
366,1030,Kathmandu Airport,Kathmandu,2017,6,17,12,81.6
366,1030,Kathmandu Airport,Kathmandu,2017,6,18,3,72.2
366,1030,Kathmandu Airport,Kathmandu,2017,6,18,12,64.6
366,1030,Kathmandu Airport,Kathmandu,2017,6,19,3,69.3
366,1030,Kathmandu Airport,Kathmandu,2017,6,19,12,69.3
366,1030,Kathmandu Airport,Kathmandu,2017,6,20,3,96.4
366,1030,Kathmandu Airport,Kathmandu,2017,6,20,12,80.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,21,3,96.3
366,1030,Kathmandu Airport,Kathmandu,2017,6,21,12,83.3
366,1030,Kathmandu Airport,Kathmandu,2017,6,22,3,76
366,1030,Kathmandu Airport,Kathmandu,2017,6,22,12,76.2
366,1030,Kathmandu Airport,Kathmandu,2017,6,23,3,69.1
366,1030,Kathmandu Airport,Kathmandu,2017,6,23,12,64.2
366,1030,Kathmandu Airport,Kathmandu,2017,6,24,3,84.5
366,1030,Kathmandu Airport,Kathmandu,2017,6,24,12,89.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,25,3,82.8
366,1030,Kathmandu Airport,Kathmandu,2017,6,25,12,75.8
366,1030,Kathmandu Airport,Kathmandu,2017,6,26,3,84.8
366,1030,Kathmandu Airport,Kathmandu,2017,6,26,12,89.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,27,3,79.1
366,1030,Kathmandu Airport,Kathmandu,2017,6,27,12,89.5
366,1030,Kathmandu Airport,Kathmandu,2017,6,28,3,87.9
366,1030,Kathmandu Airport,Kathmandu,2017,6,28,12,81.6
366,1030,Kathmandu Airport,Kathmandu,2017,6,29,3,82
366,1030,Kathmandu Airport,Kathmandu,2017,6,29,12,68
366,1030,Kathmandu Airport,Kathmandu,2017,6,30,3,89.7
366,1030,Kathmandu Airport,Kathmandu,2017,6,30,12,79.2
366,1030,Kathmandu Airport,Kathmandu,2017,7,1,3,83.6
366,1030,Kathmandu Airport,Kathmandu,2017,7,1,12,79.1
366,1030,Kathmandu Airport,Kathmandu,2017,7,2,3,83.2
366,1030,Kathmandu Airport,Kathmandu,2017,7,2,12,83.3
366,1030,Kathmandu Airport,Kathmandu,2017,7,3,3,76
366,1030,Kathmandu Airport,Kathmandu,2017,7,3,12,85.9
366,1030,Kathmandu Airport,Kathmandu,2017,7,4,3,92.2
366,1030,Kathmandu Airport,Kathmandu,2017,7,4,12,83.3
366,1030,Kathmandu Airport,Kathmandu,2017,7,5,3,91.3
366,1030,Kathmandu Airport,Kathmandu,2017,7,5,12,96.4
366,1030,Kathmandu Airport,Kathmandu,2017,7,6,3,88
366,1030,Kathmandu Airport,Kathmandu,2017,7,6,12,93.1
