datetime, Max, Min, Average
03/13/2017 08, 11.8999996185, 9.10000038147, 10.558333317435336, 
03/13/2017 09, 15.1000003815, 11.8999996185, 13.34666662215667, 
03/13/2017 10, 16.7000007629, 14.1999998093, 15.456666755681665, 
03/13/2017 11, 18.3999996185, 16.1000003815, 17.174999841055005, 
03/13/2017 12, 19.1000003815, 18.2000007629, 18.660000069926664, 
03/13/2017 13, 19.6000003815, 19, 19.29666678111166, 
03/13/2017 14, 19.6000003815, 18.7000007629, 19.163333352401658, 
03/13/2017 15, 19.3999996185, 18.8999996185, 19.208928346632145, 
03/13/2017 16, 18.8999996185, 17.3999996185, 18.34230775098846, 
03/13/2017 17, 17.2999992371, 15.1999998093, 16.111538263473072, 
03/13/2017 18, 14.8999996185, 13.6999998093, 14.144067715781357, 
03/13/2017 19, 13.6999998093, 13.1999998093, 13.448333231610002, 
03/13/2017 20, 13.1000003815, 12.6999998093, 12.938333288823328, 
03/13/2017 21, 12.6999998093, 12.6000003815, 12.651666752529993, 
03/13/2017 22, 12.8999996185, 12.5, 12.685000085844996, 
03/13/2017 23, 12.5, 12, 12.224999936418332, 
03/14/2017 00, 12.1000003815, 11.8999996185, 12.021666749325009, 
03/14/2017 01, 11.8999996185, 11.6000003815, 11.763333288826665, 
03/14/2017 02, 11.8000001907, 10.8999996185, 11.413333352408333, 
03/14/2017 03, 10.8000001907, 10.1999998093, 10.47333315213166, 
03/14/2017 04, 10.1999998093, 9.39999961853, 9.766666746142167, 
03/14/2017 05, 9.39999961853, 8.5, 8.848333358765169, 
03/14/2017 06, 9.30000019073, 8.60000038147, 8.93666672706617, 
03/14/2017 07, 10.8999996185, 9.30000019073, 9.963333272932504, 
03/14/2017 08, 13.6000003815, 11, 12.341666682565, 
03/14/2017 09, 16.1000003815, 13.5, 14.736666695278334, 
03/14/2017 10, 17.6000003815, 15.3999996185, 16.64000007311, 
03/14/2017 11, 18.2000007629, 17, 17.733333301545, 
03/14/2017 12, 19.8999996185, 17.7999992371, 18.764999834693338, 
03/14/2017 13, 19.7000007629, 19.1000003815, 19.343333276106666, 
03/14/2017 14, 19.8999996185, 19, 19.419999949135008, 
03/14/2017 15, 19.6000003815, 18.6000003815, 19.138333384196667, 
03/14/2017 16, 19.2000007629, 18.2000007629, 18.655000019076674, 
03/14/2017 17, 18.1000003815, 16.8999996185, 17.584999942774992, 
03/14/2017 18, 16.7999992371, 15.6000003815, 16.188333495458327, 
03/14/2017 19, 15.5, 15, 15.20666669210166, 
03/14/2017 20, 15, 14.1999998093, 14.623333438248336, 
03/14/2017 21, 14.3000001907, 13.6999998093, 14.010000054050005, 
03/14/2017 22, 14, 12.3999996185, 13.058333285645004, 
03/14/2017 23, 12.3999996185, 11.1999998093, 11.764999993636662, 
03/15/2017 00, 11.1999998093, 10.6999998093, 10.85333325068834, 
03/15/2017 01, 10.8000001907, 10.1999998093, 10.538333384203337, 
03/15/2017 02, 10.1999998093, 9.60000038147, 9.798333342873494, 
03/15/2017 03, 9.60000038147, 8.89999961853, 9.3733334223425, 
03/15/2017 04, 9.30000019073, 8.60000038147, 8.840000073113837, 
03/15/2017 05, 9.39999961853, 8.5, 8.930000034966499, 
03/15/2017 06, 9.10000038147, 8.30000019073, 8.67999998728333, 
03/15/2017 07, 11, 9.19999980927, 9.844999949138167, 
03/15/2017 08, 13.8000001907, 11, 12.426666593555002, 
03/15/2017 09, 15.6000003815, 13.6999998093, 15.006666612616668, 
03/15/2017 10, 17.6000003815, 15.8000001907, 16.541666873289998, 
03/15/2017 11, 19.5, 17.3999996185, 18.536666742953333, 
03/15/2017 12, 19.8999996185, 19, 19.548333263396675, 
03/15/2017 13, 20.7000007629, 19.7000007629, 20.270000012716658, 
03/15/2017 14, 21.2000007629, 20, 20.47000020344833, 
03/15/2017 15, 21, 20.1000003815, 20.58999989827334, 
03/15/2017 16, 20.8999996185, 19.7000007629, 20.278333346055003, 
03/15/2017 17, 19.8999996185, 17.7000007629, 18.85833339691333, 
03/15/2017 18, 17.6000003815, 16.2000007629, 16.931666692093337, 
03/15/2017 19, 16.2000007629, 15.1999998093, 15.67000001271167, 
03/15/2017 20, 15.1999998093, 14.3000001907, 14.801666625345002, 
03/15/2017 21, 14.3000001907, 13.3999996185, 13.924999968213331, 
03/15/2017 22, 13.3999996185, 12.6999998093, 13.005000082643324, 
03/15/2017 23, 12.8000001907, 11.5, 12.098333374671661, 
03/16/2017 00, 11.5, 10.8999996185, 11.151666625345003, 
03/16/2017 01, 10.8999996185, 10.3000001907, 10.674999936431664, 
03/16/2017 02, 10.3000001907, 9.80000019073, 10.041666634887495, 
03/16/2017 03, 9.80000019073, 9.30000019073, 9.655000050860336, 
03/16/2017 04, 9.39999961853, 9, 9.215000009537334, 
03/16/2017 05, 9.19999980927, 8.80000019073, 9.009999910991, 
03/16/2017 06, 9.10000038147, 9, 9.033333460490004, 
03/16/2017 07, 11.1999998093, 9.10000038147, 10.064999993643166, 
03/16/2017 08, 14.6000003815, 11.3000001907, 12.653333330150003, 
03/16/2017 09, 16.7000007629, 14.6000003815, 15.57000002861, 
03/16/2017 10, 19.3999996185, 16.2000007629, 17.524999936416666, 
03/16/2017 11, 20.2999992371, 19, 19.645000076295, 
