datetime, Max, Min, Average,
08/13/2017 22,22.39999962,22.10000038,22.27166646, 
08/13/2017 23,22.10000038,21.89999962,22.05833356, 
08/14/2017 00,21.89999962,21.39999962,21.59166676, 
08/14/2017 01,21.39999962,20.5,20.86833344, 
08/14/2017 02,20.39999962,20,20.24166651, 
08/14/2017 03,20.29999924,19.89999962,20.18166676, 
08/14/2017 04,20.29999924,20.10000038,20.18148196, 
08/14/2017 05,20.39999962,20.20000076,20.32916609, 
08/14/2017 06,20.5,20.20000076,20.33499956, 
08/14/2017 07,20.89999962,20.5,20.63333346, 
08/14/2017 08,22,20.89999962,21.51333329, 
08/14/2017 09,24.10000038,22,23.05333357, 
08/14/2017 10,25.5,24.10000038,24.88333349, 
08/14/2017 11,26.39999962,25,25.70666666, 
08/14/2017 12,26.89999962,25.39999962,25.9033335, 
08/14/2017 13,27,26.29999924,26.52833312, 
08/14/2017 14,28.10000038,26.79999924,27.26346148, 
08/14/2017 15,27.89999962,27.39999962,27.63214295, 
08/14/2017 16,28.10000038,27.20000076,27.64117645, 
08/14/2017 17,27.20000076,25.5,26.3305086, 
08/14/2017 18,25.39999962,22.60000038,23.54666678, 
08/14/2017 19,22.89999962,22.60000038,22.77999973, 
08/14/2017 20,23.10000038,22.89999962,22.96666654, 
08/14/2017 21,23.20000076,23,23.07833363, 
08/14/2017 22,23.10000038,22.70000076,22.85833333, 
08/14/2017 23,22.70000076,22.60000038,22.62166713, 
08/15/2017 00,22.60000038,22.10000038,22.35833343, 
08/15/2017 01,22.10000038,21.39999962,21.71166677, 
08/15/2017 02,21.70000076,21.5,21.58000031, 
08/15/2017 03,21.70000076,21.60000038,21.68000069, 
08/15/2017 04,21.70000076,21.5,21.63833386, 
08/15/2017 05,21.5,21.29999924,21.41666635, 
08/15/2017 06,22.10000038,21.5,21.7983333, 
08/15/2017 07,23.10000038,22.10000038,22.53000011, 
08/15/2017 08,25.39999962,23.10000038,24.09166676, 
08/15/2017 09,26.60000038,24.60000038,25.65333325, 
08/15/2017 10,27.10000038,25.5,26.31166658, 
08/15/2017 11,26.79999924,25.5,25.96500003, 
08/15/2017 12,27.29999924,26.29999924,26.64499998, 
08/15/2017 13,27.29999924,26.39999962,26.87999983, 
08/15/2017 14,26.89999962,26.29999924,26.49499957, 
08/15/2017 15,28,26.20000076,27.28333337, 
08/15/2017 16,27.29999924,26.20000076,26.85833346, 
08/15/2017 17,26.5,25.10000038,25.74583348, 
08/15/2017 18,25,24.39999962,24.68703697, 
08/15/2017 19,24.39999962,24,24.12166662, 
08/15/2017 20,24,23.60000038,23.8000001, 
08/15/2017 21,23.60000038,23.39999962,23.5183334, 
08/15/2017 22,23.39999962,23.20000076,23.31086922, 
08/15/2017 23,23.20000076,22.89999962,23.05686296, 
08/16/2017 00,23,22.89999962,22.98108101, 
08/16/2017 01,22.89999962,22.10000038,22.49666681, 
08/16/2017 02,22.20000076,22,22.10666707, 
08/16/2017 03,22,21.89999962,21.94833314, 
08/16/2017 04,22,21.70000076,21.8216664, 
08/16/2017 05,21.89999962,21.70000076,21.8616662, 
08/16/2017 06,22.29999924,21.89999962,22.03333324, 
08/16/2017 07,23.70000076,22.29999924,23.2083334, 
08/16/2017 08,24.5,23.70000076,24.1299997, 
08/16/2017 09,25.39999962,24.29999924,24.98999968, 
08/16/2017 10,27.39999962,25.20000076,26.40000003, 
08/16/2017 11,28.29999924,27,27.55769223, 
08/16/2017 12,29.10000038,27.79999924,28.51034497, 
08/16/2017 13,29,27.39999962,28.06333332, 
08/16/2017 14,28.29999924,27.39999962,27.87666664, 
08/16/2017 15,28,26.10000038,26.62666674, 
08/16/2017 16,26.29999924,24.20000076,24.79333324, 
08/16/2017 17,25.10000038,24.29999924,24.74848464, 
08/16/2017 18,25.29999924,24.60000038,24.99000006, 
08/16/2017 19,24.79999924,24.29999924,24.55800014, 
08/16/2017 20,24.10000038,23.60000038,23.83611128, 
08/16/2017 21,23.60000038,23.29999924,23.43148122, 
08/16/2017 22,23.29999924,23.10000038,23.18235358, 
08/16/2017 23,23.10000038,22.89999962,22.98666662, 
08/17/2017 00,23.20000076,23,23.12166713, 
08/17/2017 01,23.20000076,22.79999924,22.97833325, 
08/17/2017 02,22.89999962,22.60000038,22.77499978, 
08/17/2017 03,22.70000076,22.39999962,22.58166698, 
08/17/2017 04,22.39999962,22.39999962,22.39999962, 
08/17/2017 05,22.5,21.89999962,22.31874973, 
08/17/2017 06,22.39999962,21.89999962,22.18999999, 
08/17/2017 07,22.60000038,22.10000038,22.34666688, 
08/17/2017 08,23.5,22.5,22.99166663, 
08/17/2017 09,26.29999924,23.39999962,24.89743604, 
08/17/2017 10,27.29999924,26.10000038,26.81666676, 
08/17/2017 11,27.89999962,26.39999962,27.3892855, 
