datetime, Max, Min, Average
06/15/2017 01, 23.1000003815, 22.7999992371, 22.978333250681672, 
06/15/2017 02, 23, 22.6000003815, 22.824999936408346, 
06/15/2017 03, 22.8999996185, 22.5, 22.62166671752833, 
06/15/2017 04, 22.5, 22.2000007629, 22.346666399629992, 
06/15/2017 05, 22.3999996185, 22, 22.201666831973345, 
06/15/2017 06, 22.7000007629, 22.3999996185, 22.573333613089982, 
06/15/2017 07, 23.7999992371, 22.7000007629, 23.243333403266664, 
06/15/2017 08, 24.3999996185, 23.7000007629, 24.01833321253, 
06/15/2017 09, 25, 24.3999996185, 24.821666622163335, 
06/15/2017 10, 25.8999996185, 25, 25.39756086395854, 
06/15/2017 11, 27.2999992371, 26.5, 26.66851856091482, 
06/15/2017 12, 27.6000003815, 26.5, 26.95000012716332, 
06/15/2017 13, 26.7999992371, 26.7999992371, 26.7999992371, 
06/15/2017 14, 28.6000003815, 27.7000007629, 28.03000005086334, 
06/15/2017 15, 27.7000007629, 26, 26.75000019072831, 
06/15/2017 16, 26.5, 25.7999992371, 25.998214040487504, 
06/15/2017 17, 26.5, 24.6000003815, 25.241463498378035, 
06/15/2017 18, 25, 24.6000003815, 24.80731698944391, 
06/15/2017 19, 24.7999992371, 23.8999996185, 24.44821449686608, 
06/15/2017 20, 23.8999996185, 23.8999996185, 23.899999618499997, 
06/15/2017 21, 23.2999992371, 23, 23.155999984760005, 
06/15/2017 22, 23, 22.6000003815, 22.776666736603335, 
06/15/2017 23, 23, 22.8999996185, 22.987499952312497, 
06/16/2017 00, 22.1000003815, 21.7000007629, 21.806451243751614, 
06/16/2017 01, 22.1000003815, 21.7999992371, 21.94999980926, 
06/16/2017 02, 22, 21.7999992371, 21.97499990463001, 
06/16/2017 03, 21.7999992371, 21.3999996185, 21.565000184368337, 
06/16/2017 04, 21.6000003815, 21.3999996185, 21.520000076299986, 
06/16/2017 05, 21.5, 21.2000007629, 21.298333549474975, 
06/16/2017 06, 21.7000007629, 21.2000007629, 21.451666704803337, 
06/16/2017 07, 22.2000007629, 21.5, 21.943333403266667, 
06/16/2017 08, 22.7000007629, 22, 22.555000368763313, 
