"gsid","index_no","station","district","year","month","days","rainfall_sum"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","08","7.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","12","9.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","17","0.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","18","11.3"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","19","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","20","0.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","21","7.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","22","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","30","17"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","01","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","02","7.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","03","12.9"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","06","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","07","11"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","27","0"
