datetime, Max, Min, Average
11/09/2017 18, 18.7000007629, 18, 18.41000015259, 
11/09/2017 19, 17.7999992371, 16.8999996185, 17.244117512423536, 
11/09/2017 20, 16.8999996185, 15.6000003815, 16.312195219646338, 
11/09/2017 21, 15.5, 14.3999996185, 14.99999991521777, 
11/09/2017 22, 14.5, 14, 14.284999910976667, 
11/09/2017 23, 14, 13, 13.549999952309998, 
11/10/2017 00, 13, 12.6999998093, 12.908333253841656, 
11/10/2017 01, 12.8999996185, 12.1000003815, 12.561666838336672, 
11/10/2017 02, 12.1999998093, 11.6000003815, 11.99333333970666, 
11/10/2017 03, 11.6000003815, 11.1999998093, 11.300000079455005, 
11/10/2017 04, 11.3000001907, 10.8999996185, 11.073333247513343, 
11/10/2017 05, 10.8999996185, 10.3000001907, 10.63333336512167, 
11/10/2017 06, 11.6000003815, 10.6999998093, 11.146666669841666, 
11/10/2017 07, 13.6000003815, 11.6000003815, 12.560000006358335, 
11/10/2017 08, 17.1000003815, 13.6999998093, 15.751666609446666, 
11/10/2017 09, 20.3999996185, 16.7999992371, 18.48499991099667, 
11/10/2017 10, 21.7000007629, 19.7999992371, 20.931666914613324, 
11/10/2017 11, 23.6000003815, 20.7999992371, 21.761666647586665, 
11/10/2017 12, 23.7999992371, 22.8999996185, 23.370000044513343, 
11/10/2017 13, 23.5, 22.6000003815, 23.169999980931664, 
11/10/2017 14, 23.7000007629, 22.3999996185, 22.979661068672883, 
11/10/2017 15, 22.5, 21.3999996185, 21.893333530416662, 
11/10/2017 16, 21.7000007629, 19.5, 20.69333333969333, 
11/10/2017 17, 19.5, 18.5, 18.901724223434478, 
11/10/2017 18, 18.5, 17.7999992371, 18.1616666158, 
11/10/2017 19, 17.8999996185, 16.8999996185, 17.378333346046663, 
11/10/2017 20, 16.8999996185, 15.8000001907, 16.26842093884562, 
11/10/2017 21, 15.8000001907, 14.8000001907, 15.435000022250003, 
11/10/2017 22, 14.8000001907, 14.1999998093, 14.491666746139998, 
11/10/2017 23, 14.3000001907, 13.3999996185, 13.809999942779998, 
11/11/2017 00, 13.3999996185, 12.8000001907, 13.110000085820001, 
11/11/2017 01, 12.8000001907, 11.8999996185, 12.214035067640353, 
11/11/2017 02, 12, 11.6999998093, 11.853333234783339, 
11/11/2017 03, 11.6999998093, 11.3000001907, 11.506666628519993, 
11/11/2017 04, 11.6000003815, 10.8000001907, 11.181666755673325, 
11/11/2017 05, 11, 10.3999996185, 10.683333317436665, 
11/11/2017 06, 11, 10.8000001907, 10.906666628499988, 
11/11/2017 07, 13.3000001907, 11, 12.025000015898334, 
11/11/2017 08, 16.7000007629, 13.3000001907, 15.378333361933334, 
11/11/2017 09, 19, 16.7000007629, 17.854999955490005, 
11/11/2017 10, 21.5, 18.8999996185, 20.09166666666, 
11/11/2017 11, 22.3999996185, 21.3999996185, 21.80333337782499, 
11/11/2017 12, 23.6000003815, 21.8999996185, 22.976666673023338, 
11/11/2017 13, 23.2999992371, 22.6000003815, 22.883333333333333, 
11/11/2017 14, 23.1000003815, 22.3999996185, 22.68500013352333, 
11/11/2017 15, 22.2000007629, 21.5, 21.955000146229995, 
11/11/2017 16, 21.6000003815, 19.7000007629, 20.808333269758347, 
11/11/2017 17, 19.7000007629, 18.3999996185, 19.028301958766043, 
11/11/2017 18, 18.3999996185, 17.7000007629, 18.021666590368348, 
11/11/2017 19, 17.7999992371, 16.7000007629, 17.22499993642833, 
11/11/2017 20, 16.7000007629, 15.6000003815, 16.13333349227166, 
11/11/2017 21, 15.6000003815, 14.3000001907, 14.923333326973335, 
11/11/2017 22, 14.3999996185, 13.8000001907, 14.230508367883049, 
11/11/2017 23, 14, 13.3999996185, 13.738333257035004, 
11/12/2017 00, 13.3999996185, 12.6000003815, 12.864999977760009, 
11/12/2017 01, 12.6000003815, 12, 12.336363567001815, 
11/12/2017 02, 12, 11.1999998093, 11.696666653951672, 
11/12/2017 03, 11.1999998093, 10.8999996185, 11.081666676220005, 
11/12/2017 04, 11, 10.6000003815, 10.783333365118327, 
11/12/2017 05, 10.6999998093, 10.1999998093, 10.456666612623332, 
11/12/2017 06, 11, 10.3999996185, 10.638333320613334, 
11/12/2017 07, 12.8999996185, 11, 11.80333334605333, 
11/12/2017 08, 16.5, 12.8999996185, 15.108333333330004, 
11/12/2017 09, 18.7999992371, 16.6000003815, 17.810000069933334, 
11/12/2017 10, 21.1000003815, 18.6000003815, 19.999999968213334, 
11/12/2017 11, 22.2999992371, 21.2000007629, 21.62833325068167, 
11/12/2017 12, 23.8999996185, 21.3999996185, 22.478333282473333, 
11/12/2017 13, 24, 22.7000007629, 23.069999853771662, 
11/12/2017 14, 23.7000007629, 22.6000003815, 23.276666673038335, 
11/12/2017 15, 22.7000007629, 21.2000007629, 21.96666673025168, 
11/12/2017 16, 21.6000003815, 19.7999992371, 20.861666647593335, 
