datetime, Max, Min, Average,
01/03/2018 17,14.30000019,12.89999962,13.61833336, 
01/03/2018 18,13,12,12.66166654, 
01/03/2018 19,11.89999962,10.69999981,11.42499992, 
01/03/2018 20,10.80000019,9.399999619,10.19833334, 
01/03/2018 21,9.399999619,8,8.466666746, 
01/03/2018 22,7.900000095,6.699999809,7.265000057, 
01/03/2018 23,6.699999809,6.400000095,6.549999952, 
01/04/2018 00,6.5,5.099999905,5.824999968, 
01/04/2018 01,5.5,5.099999905,5.383333349, 
01/04/2018 02,5.400000095,4.400000095,4.80999999, 
01/04/2018 03,4.400000095,3.599999905,3.929999979, 
01/04/2018 04,4,3.299999952,3.578333334, 
01/04/2018 05,3.700000048,3.099999905,3.371666662, 
01/04/2018 06,3.599999905,3.200000048,3.384999975, 
01/04/2018 07,4.699999809,3.5,3.884999983, 
01/04/2018 08,8.600000381,4.800000191,6.230000027, 
01/04/2018 09,12.10000038,8.800000191,10.41166663, 
01/04/2018 10,14.19999981,11.69999981,12.9866666, 
01/04/2018 11,17,14.30000019,15.54000007, 
01/04/2018 12,18.10000038,16.79999924,17.39833333, 
01/04/2018 13,19.39999962,18,18.56833334, 
01/04/2018 14,19.60000038,18.39999962,19.01000004, 
01/04/2018 15,19.10000038,17.79999924,18.15333344, 
01/04/2018 16,18,14.80000019,16.43666649, 
01/04/2018 17,14.69999981,13.10000038,13.90166664, 
01/04/2018 18,13.10000038,11.60000038,12.41166668, 
01/04/2018 19,11.60000038,10.39999962,11.03000005, 
01/04/2018 20,10.39999962,8.699999809,9.681666644, 
01/04/2018 21,8.699999809,7.900000095,8.491666675, 
01/04/2018 22,7.800000191,7,7.318333292, 
01/04/2018 23,7.099999905,6.5,6.694999981, 
01/05/2018 00,6.5,5.900000095,6.17999994, 
01/05/2018 01,5.900000095,5.199999809,5.535000006, 
01/05/2018 02,5.199999809,4.400000095,4.765000025, 
01/05/2018 03,4.5,4.199999809,4.33500003, 
01/05/2018 04,4.5,3.299999952,3.868333332, 
01/05/2018 05,3.700000048,3.299999952,3.609999986, 
01/05/2018 06,3.900000095,3.700000048,3.810000022, 
01/05/2018 07,4.900000095,3.5,3.959999975, 
01/05/2018 08,8.100000381,4.900000095,6.206666684, 
01/05/2018 09,11.19999981,8.300000191,10.03333337, 
01/05/2018 10,13.80000019,11.19999981,12.14833331, 
01/05/2018 11,15.5,13.60000038,14.63166666, 
01/05/2018 12,17.60000038,15.39999962,16.42666672, 
01/05/2018 13,17.89999962,16.60000038,17.14333337, 
01/05/2018 14,18.10000038,16.10000038,17.19666669, 
01/05/2018 15,17,15.39999962,16.02000009, 
01/05/2018 16,16,13.60000038,14.92333339, 
01/05/2018 17,13.60000038,12,12.67500005, 
01/05/2018 18,12,11.10000038,11.59999998, 
01/05/2018 19,11.10000038,10,10.55000003, 
01/05/2018 20,10,8.699999809,9.27166659, 
01/05/2018 21,8.800000191,7.599999905,8.086666671, 
01/05/2018 22,7.599999905,6.5,7.098333319, 
01/05/2018 23,6.400000095,5.800000191,6.068333364, 
01/06/2018 00,5.800000191,5.300000191,5.563333297, 
01/06/2018 01,5.300000191,4.599999905,4.971666686, 
01/06/2018 02,5.099999905,4.300000191,4.553333402, 
01/06/2018 03,4.300000191,3.599999905,3.916666659, 
01/06/2018 04,3.799999952,3.299999952,3.594999989, 
01/06/2018 05,3.299999952,2.900000095,3.116666663, 
01/06/2018 06,3,2.799999952,2.883333369, 
01/06/2018 07,3.799999952,3,3.376666641, 
01/06/2018 08,7,3.900000095,4.986666679, 
01/06/2018 09,10.60000038,7.099999905,9.143333308, 
01/06/2018 10,12.39999962,10.19999981,11.41999995, 
01/06/2018 11,15.30000019,12.69999981,13.94833333, 
01/06/2018 12,16.39999962,14.89999962,15.58833342, 
01/06/2018 13,16.60000038,15.69999981,16.11186453, 
01/06/2018 14,16.60000038,15.69999981,16.18500015, 
01/06/2018 15,16.20000076,15.10000038,15.67166677, 
01/06/2018 16,15.30000019,13.60000038,14.61333335, 
01/06/2018 17,13.60000038,11.80000019,12.61166665, 
01/06/2018 18,11.80000019,10.69999981,11.22999996, 
01/06/2018 19,10.69999981,9.199999809,9.939999994, 
01/06/2018 20,9.199999809,7.900000095,8.386666751, 
01/06/2018 21,7.900000095,6.199999809,7.085000014, 
01/06/2018 22,6.199999809,5.900000095,5.998333335, 
01/06/2018 23,5.900000095,4.5,4.994999973, 
01/07/2018 00,4.5,3.599999905,4.044999985, 
01/07/2018 01,3.700000048,2.799999952,3.339999978, 
01/07/2018 02,3.200000048,2.400000095,2.911666671, 
01/07/2018 03,2.599999905,2,2.343333336, 
01/07/2018 04,2.599999905,2.099999905,2.393333368, 
01/07/2018 05,2.099999905,1.5,1.815, 
01/07/2018 06,2,1.299999952,1.746666654, 
01/07/2018 07,3.099999905,1.700000048,2.324999992, 
01/07/2018 08,7.400000095,3.099999905,4.733333353, 
01/07/2018 09,10.19999981,7.400000095,8.486666759, 
01/07/2018 10,12.19999981,10.30000019,11.08500002, 
01/07/2018 11,15.10000038,12.19999981,13.53333327, 
01/07/2018 12,16,14.60000038,15.39666667, 
01/07/2018 13,16,15.39999962,15.73500001, 
01/07/2018 14,17.10000038,15.80000019,16.62000009, 
01/07/2018 15,16.20000076,15.69999981,16.00500016, 
01/07/2018 16,16,13.39999962,14.8383333, 
01/07/2018 17,13.30000019,11.10000038,12.13999998, 
01/07/2018 18,11.10000038,10,10.59833337, 
01/07/2018 19,10,8.199999809,9.148333311, 
01/07/2018 20,8.199999809,7.300000191,7.711666767, 
01/07/2018 21,7.300000191,6.199999809,6.676666673, 
01/07/2018 22,6.099999905,5.699999809,5.821666606, 
01/07/2018 23,5.699999809,4.699999809,5.226666689, 
01/08/2018 00,4.599999905,3.700000048,4.05666664, 
01/08/2018 01,4.300000191,3.599999905,4.009999986, 
01/08/2018 02,3.599999905,2.900000095,3.328333334, 
01/08/2018 03,2.900000095,2.400000095,2.558333337, 
01/08/2018 04,2.5,1.899999976,2.273333371, 
01/08/2018 05,2.099999905,1.899999976,1.991666657, 
01/08/2018 06,2.400000095,2,2.138333289, 
01/08/2018 07,3.5,2.400000095,2.708333373, 
01/08/2018 08,6.900000095,3.599999905,4.920000017, 
01/08/2018 09,10.19999981,6.900000095,8.750000032, 
01/08/2018 10,12.89999962,10.10000038,11.8266667, 
01/08/2018 11,14.30000019,12.30000019,13.34166671, 
01/08/2018 12,15.5,13.89999962,14.53166664, 
01/08/2018 13,16.20000076,15,15.53166668, 
01/08/2018 14,16.60000038,15.10000038,15.85499996, 
01/08/2018 15,16,13.89999962,14.99166665, 
